gene	allele	threshold
IGLV25-N5HP	IGLV25-N5HP*03	0.001
IGLV25-WFLH	IGLV25-WFLH*01	0.009
IGLV26-5FUK	IGLV26-5FUK*01	0.001
IGLV4-CGIK	IGLV4-CGIK*01	0.001
IGLV5-NWM6	IGLV5-NWM6*02	0.001
IGLV7-M5JX	IGLV7-M5JX*01	0.001
IGLV7-YFQ2	IGLV7-YFQ2*03	0.001
IGLV1-6UWF	IGLV1-6UWF*03	0.001
IGLV13-PG6A	IGLV13-PG6A*05	0.001
IGLV18-LFXG	IGLV18-LFXG*01	0.001
IGLV18-LFXG	IGLV18-LFXG*02	0.001
IGLV24-2DBU	IGLV24-2DBU*01	0.001
IGLV24-7UWK	IGLV24-7UWK*01	0.001
IGLV4-JKIO	IGLV4-JKIO*01	0.001
IGLV7-V4Q3	IGLV7-V4Q3*01	0.001
IGLV6-43U5	IGLV6-43U5*09	0.006
IGLV1-YE7M	IGLV1-YE7M*05	0.001
IGLV13-PG6A	IGLV13-PG6A*02	0.001
IGLV2-3NOK	IGLV2-3NOK*05	0.001
IGLV24-BVHO	IGLV24-BVHO*10	0.001
IGLV34-SFME	IGLV34-SFME*03	0.001
IGLV15-WNKU	IGLV15-WNKU*02	0.001
IGLV7-V4Q3	IGLV7-V4Q3*02	0.001
IGLV26-GNF7	IGLV26-GNF7*01	0.001
IGLV1-ANT2	IGLV1-ANT2*04	0.001
IGLV13-7QAJ	IGLV13-7QAJ*05/IGLV13-7QAJ*08	0.001
IGLV24-OL3F	IGLV24-OL3F*04	0.001
IGLV5-UW3K	IGLV5-UW3K*07	0.001
IGLV18-HTIG	IGLV18-HTIG*05	0.001
IGLV19-G4WJ	IGLV19-G4WJ*01	0.001
IGLV32-R2TL	IGLV32-R2TL*01	0.001
IGLV24-BVHO	IGLV24-BVHO*02	0.02
IGLV25-ZJ6T	IGLV25-ZJ6T*02	0.001
IGLV33-GBBF	IGLV33-GBBF*02	0.001
IGLV34-N3KI	IGLV34-N3KI*06	0.001
IGLV4-JKIO	IGLV4-JKIO*02	0.001
IGLV13-RLBV	IGLV13-RLBV*08	0.001
IGLV18-LFXG	IGLV18-LFXG*11/IGLV18-LFXG*18	0.001
IGLV20-LHAH	IGLV20-LHAH*03	0.001
