gene	allele	threshold
IGHV4-4V2C	IGHV4-4V2C*02/IGHV4-4V2C*03	2e-04
IGHV4-5ARF	IGHV4-5ARF*03	1e-04
IGHV4-5ARF	IGHV4-5ARF*17	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*08	0.008
IGHV4-5WKJ	IGHV4-5WKJ*09	0.002
IGHV4-5WKJ	IGHV4-5WKJ*12/IGHV4-5WKJ*13	0.003
IGHV4-64DR	IGHV4-64DR*06	1e-04
IGHV4-7PM2	IGHV4-7PM2*13	2e-04
IGHV4-7UKP	IGHV4-7UKP*06/IGHV4-7UKP*07	1e-04
IGHV4-AATP	IGHV4-AATP*03	1e-04
IGHV4-AATP	IGHV4-AATP*04	0.004
IGHV4-AATP	IGHV4-AATP*05/IGHV4-AATP*08	1e-04
IGHV4-EAIX	IGHV4-EAIX*11	0.002
IGHV4-EAIX	IGHV4-EAIX*13	0.002
IGHV4-HDAZ	IGHV4-HDAZ*03/IGHV4-HDAZ*14	1e-04
IGHV4-JA6D	IGHV4-JA6D*10/IGHV4-JA6D*20	2e-04
IGHV4-JA6D	IGHV4-JA6D*19	0.006
IGHV4-JZNW	IGHV4-JZNW*05	7e-04
IGHV4-JZNW	IGHV4-JZNW*11	2e-04
IGHV4-MLR2	IGHV4-MLR2*05	1e-04
IGHV4-MLR2	IGHV4-MLR2*11/IGHV4-MLR2*12	2e-04
IGHV4-VX5Q	IGHV4-VX5Q*18/IGHV4-VX5Q*22/IGHV4-VX5Q*24	2e-04
IGHV4-VX5Q	IGHV4-VX5Q*19/IGHV4-VX5Q*23	2e-04
IGHV4-XTDW	IGHV4-XTDW*03	2e-04
IGHV4-Y4BX	IGHV4-Y4BX*05	4e-04
IGHV4-YE26	IGHV4-YE26*05	1e-04
IGHV4-YE26	IGHV4-YE26*10	4e-04
IGHV4-YE26	IGHV4-YE26*11	2e-04
IGHV4-YE26	IGHV4-YE26*17	3e-04
IGHV4-YE26	IGHV4-YE26*18/IGHV4-YE26*20	1e-04
IGHV5-2GFF	IGHV5-2GFF*14	1e-04
IGHV5-D2NK	IGHV5-D2NK*06	2e-04
IGHV6-UXXO	IGHV6-UXXO*02	3e-04
IGHV6-UXXO	IGHV6-UXXO*04	1e-04
IGHV7-75KG	IGHV7-75KG*01	2e-04
IGHV7-75KG	IGHV7-75KG*04	1e-04
IGHV7-S2SK	IGHV7-S2SK*09	1e-04
IGHV7-S2SK	IGHV7-S2SK*15	4e-04
IGHV8-4WHC	IGHV8-4WHC*02	9e-04
IGHV8-4WHC	IGHV8-4WHC*03	1e-04
IGHV8-4WHC	IGHV8-4WHC*18	5e-04
IGHV8-65SO	IGHV8-65SO*04	1e-04
IGHV8-65SO	IGHV8-65SO*11	1e-04
IGHV8-6TUE	IGHV8-6TUE*08	1e-04
IGHV8-6TUE	IGHV8-6TUE*14	3e-04
IGHV8-AHTF	IGHV8-AHTF*07	1e-04
IGHV8-DH64	IGHV8-DH64*01	4e-04
IGHV8-GESA	IGHV8-GESA*04	0.002
IGHV8-GESA	IGHV8-GESA*05	1e-04
IGHV8-MBLR	IGHV8-MBLR*10	1e-04
IGHV8-MBLR	IGHV8-MBLR*11	1e-04
IGHV8-RZNS	IGHV8-RZNS*12	1e-04
IGHV8-WAVT	IGHV8-WAVT*03	1e-04
IGHV1-BEKE	IGHV1-BEKE*05	3e-04
IGHV1-BSGF	IGHV1-BSGF*12	1e-04
IGHV1-BSGF	IGHV1-BSGF*14	4e-04
IGHV1-BSGF	IGHV1-BSGF*18	4e-04
IGHV1-FO6G	IGHV1-FO6G*02	1e-04
IGHV2-D2TO	IGHV2-D2TO*01	1e-04
IGHV2-V7ET	IGHV2-V7ET*01	1e-04
IGHV2-V7ET	IGHV2-V7ET*05/IGHV2-V7ET*06	1e-04
IGHV3-4GAP	IGHV3-4GAP*10	1e-04
IGHV3-4GAP	IGHV3-4GAP*11	2e-04
IGHV3-4PJH	IGHV3-4PJH*20	1e-04
IGHV3-4PJH	IGHV3-4PJH*22	1e-04
IGHV3-4RPY	IGHV3-4RPY*03	2e-04
IGHV3-A7N6	IGHV3-A7N6*01	1e-04
IGHV3-BKKC	IGHV3-BKKC*03	2e-04
IGHV3-JRTS	IGHV3-JRTS*06	1e-04
IGHV3-JU2I	IGHV3-JU2I*01	2e-04
IGHV3-L7BK	IGHV3-L7BK*02	1e-04
IGHV3-L7BK	IGHV3-L7BK*06	4e-04
IGHV3-MCXM	IGHV3-MCXM*06	1e-04
IGHV3-NL4W	IGHV3-NL4W*03	1e-04
IGHV3-O76Z	IGHV3-O76Z*04	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*04	5e-04
IGHV3-X5LH	IGHV3-X5LH*04	1e-04
IGHV3-X5LH	IGHV3-X5LH*10	1e-04
IGHV4-4NGE	IGHV4-4NGE*02	2e-04
IGHV4-7PM2	IGHV4-7PM2*08	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*07	2e-04
IGHV4-JJNU	IGHV4-JJNU*04	2e-04
IGHV4-JZNW	IGHV4-JZNW*10	1e-04
IGHV4-MYX4	IGHV4-MYX4*07	2e-04
IGHV4-N2SB	IGHV4-N2SB*01	1e-04
IGHV4-U2RC	IGHV4-U2RC*04	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*02	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*10	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*11	2e-04
IGHV5-2GFF	IGHV5-2GFF*02	1e-04
IGHV5-2GFF	IGHV5-2GFF*04	1e-04
IGHV5-D2NK	IGHV5-D2NK*04	1e-04
IGHV5-D2NK	IGHV5-D2NK*05	4e-04
IGHV7-75KG	IGHV7-75KG*02	1e-04
IGHV7-S2SK	IGHV7-S2SK*16	5e-04
IGHV8-4SV6	IGHV8-4SV6*04	2e-04
IGHV8-4SV6	IGHV8-4SV6*09	1e-04
IGHV8-65SO	IGHV8-65SO*18	1e-04
IGHV8-6TUE	IGHV8-6TUE*01	4e-04
IGHV8-6TUE	IGHV8-6TUE*12	1e-04
IGHV8-AHTF	IGHV8-AHTF*01	1e-04
IGHV8-PWAC	IGHV8-PWAC*02	1e-04
IGHV8-RZNS	IGHV8-RZNS*11	1e-04
IGHV3-37F2	IGHV3-37F2*05	1e-04
IGHV3-7HCW	IGHV3-7HCW*02	5e-04
IGHV3-BKKC	IGHV3-BKKC*13	1e-04
IGHV3-E6ZX	IGHV3-E6ZX*01	1e-04
IGHV3-GYPG	IGHV3-GYPG*12	1e-04
IGHV3-NL4W	IGHV3-NL4W*04	1e-04
IGHV3-X5LH	IGHV3-X5LH*07	1e-04
IGHV4-5ARF	IGHV4-5ARF*05	2e-04
IGHV4-5WKJ	IGHV4-5WKJ*04	1e-04
IGHV4-7PM2	IGHV4-7PM2*04	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*06	1e-04
IGHV4-MYX4	IGHV4-MYX4*09	2e-04
IGHV4-U2RC	IGHV4-U2RC*07	1e-04
IGHV4-YE26	IGHV4-YE26*14/IGHV4-YE26*19	4e-04
IGHV5-D2NK	IGHV5-D2NK*15	2e-04
IGHV7-75KG	IGHV7-75KG*05	1e-04
IGHV8-65SO	IGHV8-65SO*13	1e-04
IGHV8-GESA	IGHV8-GESA*15	1e-04
IGHV8-MBLR	IGHV8-MBLR*08	1e-04
IGHV1-57IM	IGHV1-57IM*01	1e-04
IGHV1-BSGF	IGHV1-BSGF*07	1e-04
IGHV1-BSGF	IGHV1-BSGF*15	2e-04
IGHV1-ISRF	IGHV1-ISRF*04	3e-04
IGHV1-ISRF	IGHV1-ISRF*13	1e-04
IGHV1-Y7SR	IGHV1-Y7SR*05	1e-04
IGHV2-4QUM	IGHV2-4QUM*04/IGHV2-4QUM*08	1e-04
IGHV2-5VX5	IGHV2-5VX5*01	1e-04
IGHV2-5VX5	IGHV2-5VX5*02	1e-04
IGHV2-5VX5	IGHV2-5VX5*04	1e-04
IGHV2-DCLT	IGHV2-DCLT*08	2e-04
IGHV3-37F2	IGHV3-37F2*01	1e-04
IGHV3-4PJH	IGHV3-4PJH*07	1e-04
IGHV3-4PJH	IGHV3-4PJH*08	4e-04
IGHV3-B5E7	IGHV3-B5E7*04	1e-04
IGHV3-B5E7	IGHV3-B5E7*05	1e-04
IGHV3-B5E7	IGHV3-B5E7*06	1e-04
IGHV3-BZMP	IGHV3-BZMP*02	1e-04
IGHV3-BZMP	IGHV3-BZMP*07	1e-04
IGHV3-E6ZX	IGHV3-E6ZX*10	1e-04
IGHV3-GYPG	IGHV3-GYPG*11	1e-04
IGHV3-HFYN	IGHV3-HFYN*15	1e-04
IGHV3-MCXM	IGHV3-MCXM*04	1e-04
IGHV3-MCXM	IGHV3-MCXM*07	1e-04
IGHV3-MEBQ	IGHV3-MEBQ*02	1e-04
IGHV3-O76Z	IGHV3-O76Z*03	6e-04
IGHV3-PRG6	IGHV3-PRG6*03	1e-04
IGHV3-PTFK	IGHV3-PTFK*01	1e-04
IGHV3-R7MJ	IGHV3-R7MJ*01/IGHV3-R7MJ*06	1e-04
IGHV3-RRYX	IGHV3-RRYX*09	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*08	8e-04
IGHV3-X5LH	IGHV3-X5LH*03	1e-04
IGHV3-X5LH	IGHV3-X5LH*18	1e-04
IGHV3-XVTV	IGHV3-XVTV*05	1e-04
IGHV4-4M7V	IGHV4-4M7V*11	1e-04
IGHV4-4M7V	IGHV4-4M7V*14	1e-04
IGHV4-4NGE	IGHV4-4NGE*08	4e-04
IGHV4-5ARF	IGHV4-5ARF*12	1e-04
IGHV4-5ARF	IGHV4-5ARF*14	1e-04
IGHV4-64DR	IGHV4-64DR*09	1e-04
IGHV4-7PM2	IGHV4-7PM2*10	2e-04
IGHV4-7PM2	IGHV4-7PM2*12	1e-04
IGHV4-7UKP	IGHV4-7UKP*01	3e-04
IGHV4-AATP	IGHV4-AATP*01	1e-04
IGHV4-AMYK	IGHV4-AMYK*01	1e-04
IGHV4-CCOK	IGHV4-CCOK*06	1e-04
IGHV4-EAIX	IGHV4-EAIX*03	1e-04
IGHV4-EAIX	IGHV4-EAIX*07	2e-04
IGHV4-EITI	IGHV4-EITI*15	1e-04
IGHV4-FAZN	IGHV4-FAZN*03	2e-04
IGHV4-FAZN	IGHV4-FAZN*04	1e-04
IGHV4-JA6D	IGHV4-JA6D*01	4e-04
IGHV4-JA6D	IGHV4-JA6D*13	1e-04
IGHV4-JJNU	IGHV4-JJNU*01	1e-04
IGHV4-MYX4	IGHV4-MYX4*05	2e-04
IGHV4-MYX4	IGHV4-MYX4*06	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*07	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*11	1e-04
IGHV4-U675	IGHV4-U675*02	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*09	0.002
IGHV4-XTDW	IGHV4-XTDW*09	1e-04
IGHV4-XTDW	IGHV4-XTDW*12	1e-04
IGHV4-XTDW	IGHV4-XTDW*14	4e-04
IGHV4-Y4FC	IGHV4-Y4FC*09/IGHV4-Y4FC*12	2e-04
IGHV4-ZNL3	IGHV4-ZNL3*03	1e-04
IGHV5-2GFF	IGHV5-2GFF*01	1e-04
IGHV5-2GFF	IGHV5-2GFF*06	2e-04
IGHV5-D2NK	IGHV5-D2NK*07	2e-04
IGHV5-D2NK	IGHV5-D2NK*09	4e-04
IGHV5-D2NK	IGHV5-D2NK*12	4e-04
IGHV7-S2SK	IGHV7-S2SK*02	1e-04
IGHV7-S2SK	IGHV7-S2SK*06	1e-04
IGHV8-4WHC	IGHV8-4WHC*16	1e-04
IGHV8-65SO	IGHV8-65SO*06	1e-04
IGHV8-65SO	IGHV8-65SO*07	5e-04
IGHV8-MBLR	IGHV8-MBLR*09	4e-04
IGHV8-PWAC	IGHV8-PWAC*05	1e-04
IGHV8-QBAS	IGHV8-QBAS*01	1e-04
IGHV8-RZNS	IGHV8-RZNS*13	1e-04
IGHV8-RZNS	IGHV8-RZNS*17	1e-04
IGHV8-WAVT	IGHV8-WAVT*07	2e-04
IGHV1-BSGF	IGHV1-BSGF*02	1e-04
IGHV1-JIGE	IGHV1-JIGE*02	1e-04
IGHV1-VCNV	IGHV1-VCNV*05	1e-04
IGHV1-Y7SR	IGHV1-Y7SR*01	1e-04
IGHV2-5VX5	IGHV2-5VX5*06	2e-04
IGHV2-DCLT	IGHV2-DCLT*15	1e-04
IGHV2-X7EJ	IGHV2-X7EJ*01	1e-04
IGHV3-4RPY	IGHV3-4RPY*05	1e-04
IGHV3-756H	IGHV3-756H*06	2e-04
IGHV3-A7N6	IGHV3-A7N6*08	5e-04
IGHV3-BZMP	IGHV3-BZMP*04	0.003
IGHV3-BZMP	IGHV3-BZMP*06	2e-04
IGHV3-HFYN	IGHV3-HFYN*01	2e-04
IGHV3-NL4W	IGHV3-NL4W*01	1e-04
IGHV3-O76Z	IGHV3-O76Z*05	1e-04
IGHV4-2QEK	IGHV4-2QEK*04	1e-04
IGHV4-4MLZ	IGHV4-4MLZ*14	2e-04
IGHV4-7PM2	IGHV4-7PM2*05	1e-04
IGHV4-AMYK	IGHV4-AMYK*07	1e-04
IGHV4-DXH5	IGHV4-DXH5*02	1e-04
IGHV4-FAZN	IGHV4-FAZN*13	2e-04
IGHV4-FAZN	IGHV4-FAZN*14	2e-04
IGHV4-JA6D	IGHV4-JA6D*07	1e-04
IGHV4-JA6D	IGHV4-JA6D*22	2e-04
IGHV4-MLR2	IGHV4-MLR2*10	2e-04
IGHV4-NFRM	IGHV4-NFRM*04/IGHV4-NFRM*11	2e-04
IGHV4-PY3X	IGHV4-PY3X*02	1e-04
IGHV4-U2RC	IGHV4-U2RC*02	2e-04
IGHV4-YE26	IGHV4-YE26*03	4e-04
IGHV4-YE26	IGHV4-YE26*23	1e-04
IGHV5-D2NK	IGHV5-D2NK*10	2e-04
IGHV8-AHTF	IGHV8-AHTF*09	1e-04
IGHV8-GESA	IGHV8-GESA*09	2e-04
IGHV8-MBLR	IGHV8-MBLR*04	6e-04
IGHV3-BKKC	IGHV3-BKKC*10	1e-04
IGHV3-JRTS	IGHV3-JRTS*02	1e-04
IGHV3-MCXM	IGHV3-MCXM*03	1e-04
IGHV3-RRYX	IGHV3-RRYX*03	4e-04
IGHV4-AMYK	IGHV4-AMYK*05	4e-04
IGHV4-DJPP	IGHV4-DJPP*09	2e-04
IGHV4-XTDW	IGHV4-XTDW*02	3e-04
IGHV4-YE26	IGHV4-YE26*15	2e-04
IGHV8-6TUE	IGHV8-6TUE*07	2e-04
IGHV8-RZNS	IGHV8-RZNS*15	1e-04
IGHV3-DY3H	IGHV3-DY3H*01	1e-04
IGHV4-U2RC	IGHV4-U2RC*05	2e-04
IGHV8-4WHC	IGHV8-4WHC*14	2e-04
IGHV8-DH64	IGHV8-DH64*04	2e-04
IGHV1-JIGE	IGHV1-JIGE*03	1e-04
IGHV2-DCLT	IGHV2-DCLT*04	4e-04
IGHV3-C4HU	IGHV3-C4HU*03	1e-04
IGHV3-JRTS	IGHV3-JRTS*07	1e-04
IGHV3-MCXM	IGHV3-MCXM*01	1e-04
IGHV3-MEBQ	IGHV3-MEBQ*04	4e-04
IGHV3-PTFK	IGHV3-PTFK*04	1e-04
IGHV3-R7MJ	IGHV3-R7MJ*03	1e-04
IGHV4-2QEK	IGHV4-2QEK*01	1e-04
IGHV4-4MLZ	IGHV4-4MLZ*15	1e-04
IGHV4-DJPP	IGHV4-DJPP*06	1e-04
IGHV4-DXH5	IGHV4-DXH5*03	2e-04
IGHV4-FAZN	IGHV4-FAZN*12	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*10/IGHV4-HDAZ*11	4e-04
IGHV4-NFRM	IGHV4-NFRM*03	1e-04
IGHV4-PY3X	IGHV4-PY3X*01	1e-04
IGHV4-U675	IGHV4-U675*01	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*08	8e-04
IGHV4-YE26	IGHV4-YE26*02	9e-04
IGHV4-YE26	IGHV4-YE26*21	0.002
IGHV7-S2SK	IGHV7-S2SK*05	4e-04
IGHV8-65SO	IGHV8-65SO*17	1e-04
IGHV8-6TUE	IGHV8-6TUE*04	1e-04
IGHV8-DH64	IGHV8-DH64*09	1e-04
IGHV8-GESA	IGHV8-GESA*06	2e-04
IGHV8-MBLR	IGHV8-MBLR*02	4e-04
IGHV8-RZNS	IGHV8-RZNS*04	1e-04
IGHV1-BEKE	IGHV1-BEKE*01/IGHV1-BEKE*11	1e-04
IGHV3-4GAP	IGHV3-4GAP*09	1e-04
IGHV3-4PJH	IGHV3-4PJH*11	3e-04
IGHV3-GYPG	IGHV3-GYPG*10	3e-04
IGHV3-GYPG	IGHV3-GYPG*20	1e-04
IGHV3-L7BK	IGHV3-L7BK*04	3e-04
IGHV3-MEBQ	IGHV3-MEBQ*07	1e-04
IGHV4-4MLZ	IGHV4-4MLZ*12	1e-04
IGHV4-4NGE	IGHV4-4NGE*03	1e-04
IGHV4-5ARF	IGHV4-5ARF*04	1e-04
IGHV4-64DR	IGHV4-64DR*07/IGHV4-64DR*16	1e-04
IGHV4-7UKP	IGHV4-7UKP*04	3e-04
IGHV4-EITI	IGHV4-EITI*13	3e-04
IGHV4-JA6D	IGHV4-JA6D*17	1e-04
IGHV4-NBRY	IGHV4-NBRY*04	2e-04
IGHV4-NZ7A	IGHV4-NZ7A*06	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*16	1e-04
IGHV1-Y7SR	IGHV1-Y7SR*02	2e-04
IGHV2-4QUM	IGHV2-4QUM*05	1e-04
IGHV2-D2TO	IGHV2-D2TO*04	1e-04
IGHV2-DCLT	IGHV2-DCLT*07	2e-04
IGHV3-4PJH	IGHV3-4PJH*15	1e-04
IGHV3-JU2I	IGHV3-JU2I*04	1e-04
IGHV3-NL4W	IGHV3-NL4W*05	1e-04
IGHV3-R7MJ	IGHV3-R7MJ*02/IGHV3-R7MJ*05	3e-04
IGHV4-5WKJ	IGHV4-5WKJ*11	5e-04
IGHV4-64DR	IGHV4-64DR*03/IGHV4-64DR*12	1e-04
IGHV4-7UKP	IGHV4-7UKP*05/IGHV4-7UKP*08	1e-04
IGHV4-E2ZN	IGHV4-E2ZN*04	1e-04
IGHV4-JA6D	IGHV4-JA6D*11/IGHV4-JA6D*15	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*08/IGHV4-NZ7A*12	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*05	2e-04
IGHV6-UXXO	IGHV6-UXXO*01	1e-04
IGHV8-6TUE	IGHV8-6TUE*13	1e-04
IGHV8-GESA	IGHV8-GESA*11	1e-04
IGHV1-BSGF	IGHV1-BSGF*10	3e-04
IGHV1-JHF7	IGHV1-JHF7*02	1e-04
IGHV2-DCLT	IGHV2-DCLT*05/IGHV2-DCLT*09	2e-04
IGHV3-4PJH	IGHV3-4PJH*23	1e-04
IGHV3-756H	IGHV3-756H*08	1e-04
IGHV3-BZMP	IGHV3-BZMP*01	2e-04
IGHV3-DCTO	IGHV3-DCTO*02	1e-04
IGHV3-HFYN	IGHV3-HFYN*12	1e-04
IGHV3-NL4W	IGHV3-NL4W*06	1e-04
IGHV5-2GFF	IGHV5-2GFF*12	1e-04
IGHV5-D2NK	IGHV5-D2NK*03	1e-04
IGHV8-4WHC	IGHV8-4WHC*06	3e-04
IGHV8-65SO	IGHV8-65SO*15	1e-04
IGHV8-AHTF	IGHV8-AHTF*03	1e-04
IGHV8-DH64	IGHV8-DH64*08	1e-04
IGHV1-ISRF	IGHV1-ISRF*07	1e-04
IGHV2-5VX5	IGHV2-5VX5*05	1e-04
IGHV2-D2TO	IGHV2-D2TO*05	1e-04
IGHV3-4GAP	IGHV3-4GAP*08	1e-04
IGHV3-GYPG	IGHV3-GYPG*16	1e-04
IGHV3-L7BK	IGHV3-L7BK*01	1e-04
IGHV3-LT3H	IGHV3-LT3H*06	1e-04
IGHV3-PHO7	IGHV3-PHO7*05	1e-04
IGHV3-RRYX	IGHV3-RRYX*10	1e-04
IGHV3-XVTV	IGHV3-XVTV*02	1e-04
IGHV3-XVTV	IGHV3-XVTV*04	3e-04
IGHV4-4MLZ	IGHV4-4MLZ*01	1e-04
IGHV4-64DR	IGHV4-64DR*10	1e-04
IGHV4-7PM2	IGHV4-7PM2*11	1e-04
IGHV4-AATP	IGHV4-AATP*07	1e-04
IGHV4-DJPP	IGHV4-DJPP*03	2e-04
IGHV4-E2ZN	IGHV4-E2ZN*03	1e-04
IGHV4-EAIX	IGHV4-EAIX*08	1e-04
IGHV4-FAZN	IGHV4-FAZN*07	1e-04
IGHV4-JZNW	IGHV4-JZNW*14	1e-04
IGHV4-KG56	IGHV4-KG56*02	1e-04
IGHV4-MYX4	IGHV4-MYX4*08	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*01	1e-04
IGHV8-4SV6	IGHV8-4SV6*05	2e-04
IGHV8-4WHC	IGHV8-4WHC*20	1e-04
IGHV8-6TUE	IGHV8-6TUE*02	1e-04
IGHV8-DH64	IGHV8-DH64*06	1e-04
IGHV8-RZNS	IGHV8-RZNS*14	1e-04
IGHV4-AMYK	IGHV4-AMYK*08	1e-04
IGHV1-BSGF	IGHV1-BSGF*06	2e-04
IGHV2-5VX5	IGHV2-5VX5*10	1e-04
IGHV2-DPJA	IGHV2-DPJA*11/IGHV2-DPJA*15	2e-04
IGHV3-4PJH	IGHV3-4PJH*18	1e-04
IGHV3-DCTO	IGHV3-DCTO*05	1e-04
IGHV3-L7BK	IGHV3-L7BK*13	1e-04
IGHV3-LT3H	IGHV3-LT3H*02	5e-04
IGHV3-PHO7	IGHV3-PHO7*06	1e-04
IGHV3-X5LH	IGHV3-X5LH*09	1e-04
IGHV4-5ARF	IGHV4-5ARF*11	1e-04
IGHV4-64DR	IGHV4-64DR*11	1e-04
IGHV4-BQLH	IGHV4-BQLH*01	1e-04
IGHV4-CCOK	IGHV4-CCOK*05	1e-04
IGHV4-EITI	IGHV4-EITI*01	1e-04
IGHV4-JZNW	IGHV4-JZNW*09	2e-04
IGHV4-MYX4	IGHV4-MYX4*02	2e-04
IGHV4-NZ7A	IGHV4-NZ7A*02	1e-04
IGHV4-XTDW	IGHV4-XTDW*06	2e-04
IGHV5-2GFF	IGHV5-2GFF*05	1e-04
IGHV8-GESA	IGHV8-GESA*21	1e-04
IGHV8-RZNS	IGHV8-RZNS*01	1e-04
IGHV1-I24O	IGHV1-I24O*01	1e-04
IGHV4-YE26	IGHV4-YE26*08	1e-04
IGHV8-WAVT	IGHV8-WAVT*05	1e-04
IGHV3-MGEX	IGHV3-MGEX*06	3e-04
IGHV3-NL4W	IGHV3-NL4W*02	1e-04
IGHV4-V7V4	IGHV4-V7V4*01	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*15	1e-04
IGHV4-XTDW	IGHV4-XTDW*05	1e-04
IGHV3-X5LH	IGHV3-X5LH*02	3e-04
IGHV4-MLR2	IGHV4-MLR2*06	1e-04
IGHV3-4PJH	IGHV3-4PJH*03	1e-04
IGHV3-DY3H	IGHV3-DY3H*02	1e-04
IGHV3-O76Z	IGHV3-O76Z*01	1e-04
IGHV3-PHO7	IGHV3-PHO7*02	1e-04
IGHV3-X5LH	IGHV3-X5LH*17	1e-04
IGHV4-4NGE	IGHV4-4NGE*05	2e-04
IGHV4-4NGE	IGHV4-4NGE*06	1e-04
IGHV4-5ARF	IGHV4-5ARF*16	1e-04
IGHV4-64DR	IGHV4-64DR*05	1e-04
IGHV4-7PM2	IGHV4-7PM2*02	1e-04
IGHV4-DXH5	IGHV4-DXH5*01	1e-04
IGHV4-FAZN	IGHV4-FAZN*08	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*13	1e-04
IGHV4-JA6D	IGHV4-JA6D*14	1e-04
IGHV4-JA6D	IGHV4-JA6D*16	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*04	1e-04
IGHV4-YE26	IGHV4-YE26*12	2e-04
IGHV5-2GFF	IGHV5-2GFF*07	1e-04
IGHV8-65SO	IGHV8-65SO*08	1e-04
IGHV8-AHTF	IGHV8-AHTF*08	1e-04
IGHV8-GESA	IGHV8-GESA*13	2e-04
IGHV8-RZNS	IGHV8-RZNS*07	1e-04
IGHV1-BSGF	IGHV1-BSGF*11	2e-04
IGHV4-NBRY	IGHV4-NBRY*03	2e-04
IGHV4-XTDW	IGHV4-XTDW*18	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*04	1e-04
IGHV1-ISRF	IGHV1-ISRF*09	3e-04
IGHV2-5VX5	IGHV2-5VX5*03	1e-04
IGHV3-BKKC	IGHV3-BKKC*09	1e-04
IGHV3-HFYN	IGHV3-HFYN*06	1e-04
IGHV4-EITI	IGHV4-EITI*17	1e-04
IGHV4-NFRM	IGHV4-NFRM*06	1e-04
IGHV5-D2NK	IGHV5-D2NK*14	3e-04
IGHV8-RZNS	IGHV8-RZNS*02	1e-04
IGHV1-JIGE	IGHV1-JIGE*04	1e-04
IGHV3-L7BK	IGHV3-L7BK*09	2e-04
IGHV3-MCXM	IGHV3-MCXM*02	1e-04
IGHV4-CCOK	IGHV4-CCOK*03	1e-04
IGHV4-4NGE	IGHV4-4NGE*01	1e-04
IGHV4-MLR2	IGHV4-MLR2*09	2e-04
IGHV3-BZMP	IGHV3-BZMP*03	1e-04
IGHV3-HFYN	IGHV3-HFYN*03	2e-04
IGHV3-HFYN	IGHV3-HFYN*14	2e-04
IGHV1-VCNV	IGHV1-VCNV*02	1e-04
IGHV12-7776	IGHV12-7776*01	1e-04
IGHV2-D2TO	IGHV2-D2TO*06	1e-04
IGHV3-7HCW	IGHV3-7HCW*04	1e-04
IGHV3-X5LH	IGHV3-X5LH*19	4e-04
IGHV8-65SO	IGHV8-65SO*10	1e-04
IGHV8-RZNS	IGHV8-RZNS*18	1e-04
IGHV13-PSOC	IGHV13-PSOC*01	1e-04
IGHV8-6TUE	IGHV8-6TUE*11	3e-04
IGHV3-A7N6	IGHV3-A7N6*02	2e-04
IGHV3-DY3H	IGHV3-DY3H*04	1e-04
IGHV1-BEKE	IGHV1-BEKE*04	1e-04
IGHV4-CCOK	IGHV4-CCOK*02	1e-04
IGHV8-WAVT	IGHV8-WAVT*06	2e-04
IGHV4-7BJU	IGHV4-7BJU*02	1e-04
IGHV4-MLR2	IGHV4-MLR2*08	1e-04
IGHV4-XTDW	IGHV4-XTDW*17	1e-04
IGHV1-ISRF	IGHV1-ISRF*03	1e-04
IGHV3-WOIZ	IGHV3-WOIZ*01	1e-04
IGHV4-4NGE	IGHV4-4NGE*04	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*16	1e-04
IGHV4-JA6D	IGHV4-JA6D*18	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*05	1e-04
IGHV8-4WHC	IGHV8-4WHC*19	1e-04
IGHV4-4NGE	IGHV4-4NGE*13	1e-04
IGHV4-R3YH	IGHV4-R3YH*01	1e-04
IGHV8-65SO	IGHV8-65SO*02	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*09	2e-04
IGHV4-7UKP	IGHV4-7UKP*03	0.006
IGHV4-EAIX	IGHV4-EAIX*05	1e-04
IGHV4-MLR2	IGHV4-MLR2*04	1e-04
IGHV8-4WHC	IGHV8-4WHC*13	1e-04
IGHV8-WAVT	IGHV8-WAVT*01	1e-04
IGHV8-WAVT	IGHV8-WAVT*04	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*02	1e-04
IGHV4-MLR2	IGHV4-MLR2*07	2e-04
IGHV3-MGEX	IGHV3-MGEX*02	1e-04
IGHV4-2QEK	IGHV4-2QEK*03	0.008
IGHV4-FAZN	IGHV4-FAZN*01	5e-04
IGHV4-FAZN	IGHV4-FAZN*02	1e-04
