allele	threshold	threshold_min	threshold_max	mean_f1
IGKV2-ZBTP*01	0.001			
IGKV3-2BOL*01	0.001			
IGKV3-2BOL*04	0.001			
IGKV3-2BOL*06	0.001			
IGKV3-2BOL*08	0.001			
IGKV3-2BOL*10	0.001			
IGKV3-2BOL*11	0.001			
IGKV3-2VHT*01	0.001			
IGKV3-3ZVT*02	0.001			
IGKV3-5LO6*02	0.001			
IGKV3-5LO6*06	0.001			
IGKV3-6BQA*03	0.001			
IGKV3-6IHA*01	0.001			
IGKV3-6IHA*05	0.001			
IGKV3-6P57*02	0.001			
IGKV3-6P57*03	0.001			
IGKV3-6QKZ*01	0.001			
IGKV3-AZTF*01	0.001			
IGKV3-AZTF*02	0.001			
IGKV3-AZTF*03	0.001			
IGKV3-AZTF*04	0.001			
IGKV3-O6IG*01	0.001			
IGKV3-UK4L*01	0.001			
IGKV4-GNWE*01	0.001			
IGKV6-6TCR*02	0.001			
IGKV9-ZWEU*01	0.001			
IGLJ2-4GA4*01	0.001	0.001	0.1	0.923396864573335
IGLJ2-4GA4*02	0.001	0.001	0.1	0.923396864573335
IGLJ2-4GA4*03	0.001	0.001	0.1	0.923396864573335
IGLJ2-LMZW*01	0.001	0.001	0.1	0.923396864573335
IGLJ7-3R4H*02	0.003	0.003	0.05	0.924905160199278
IGLJ7-3R4H*01	0.002	0.002	0.006	0.927853192559075
IGLJ7-JLWC*01	0.001	0.001	0.001	0.923396864573335
IGLJ9-PIRL*01	0.002	0.002	0.9	0.932652315005256
IGLJ7-JLWC*02	0.001			
IGLJ7-JLWC*03	0.001			
IGLJ8-U5VX*01	0.001			
IGLV1-24UP*05	0.001	0.001	0.001	0.895182411080376
IGLV1-42NW*02	0.001	0.001	0.006	0.895182411080376
IGLV1-42NW*07	0.001	0.001	0.001	0.895182411080376
IGLV1-5WTR*02	0.001	0.001	0.007	0.895182411080376
IGLV1-5WTR*04	0.001	0.001	0.001	0.895182411080376
IGLV1-ANT2*02	0.001	0.001	0.006	0.895182411080376
IGLV1-ANT2*06	0.003	0.003	0.9	0.896030437727816
IGLV1-HYAR*01	0.003	0.003	0.003	0.895272810876658
IGLV1-HYAR*03	0.001	0.001	0.008	0.895182411080376
IGLV1-OISC*01	0.002	0.002	0.005	0.895272810876658
IGLV10-2LPI*01	0.001	0.001	0.002	0.895182411080376
IGLV11-3CKT*01/IGLV11-3CKT*02	0.001	0.001	0.01	0.895182411080376
IGLV12-3L7Q*01	0.001	0.001	0.003	0.895182411080376
IGLV12-BDQY*01	0.001	0.001	0.9	0.895182411080376
IGLV12-BDQY*04	0.002	0.002	0.9	0.895308102382538
IGLV12-BDQY*05	0.001	0.001	0.007	0.895182411080376
IGLV12-LWMG*01	0.001	0.001	0.009	0.895182411080376
IGLV13-25ZB*03	0.001	0.001	0.001	0.895182411080376
IGLV13-3ETT*02/IGLV13-3ETT*35	0.001	0.001	0.004	0.895182411080376
IGLV13-3ETT*06/IGLV13-3ETT*15/IGLV13-3ETT*34	0.001	0.001	0.01	0.895182411080376
IGLV13-3ETT*08	0.001	0.001	0.001	0.895182411080376
IGLV13-3ETT*12	0.001	0.001	0.007	0.895182411080376
IGLV13-3ETT*14/IGLV13-3ETT*16/IGLV13-3ETT*17	0.001	0.001	0.008	0.895182411080376
IGLV13-3ETT*21	0.001	0.001	0.01	0.895182411080376
IGLV13-3ETT*23	0.001	0.001	0.006	0.895182411080376
IGLV13-3ETT*28	0.001	0.001	0.005	0.895182411080376
IGLV13-3ETT*33	0.001	0.001	0.009	0.895182411080376
IGLV15-BCMZ*02/IGLV15-BCMZ*03/IGLV15-BCMZ*04	0.001	0.001	0.01	0.895182411080376
IGLV15-BCMZ*07	0.001	0.001	0.02	0.895182411080376
IGLV15-UE3U*01	0.001	0.001	0.001	0.895182411080376
IGLV16-2E6M*04	0.001	0.001	0.001	0.895182411080376
IGLV17-2DBU*04	0.001	0.001	0.01	0.895182411080376
IGLV17-2EQO*02	0.001	0.001	0.01	0.895182411080376
IGLV17-2EQO*09	0.002	0.002	0.01	0.895655938613796
IGLV17-2EQO*10	0.001	0.001	0.01	0.895182411080376
IGLV17-6TQL*08	0.001	0.001	0.01	0.895182411080376
IGLV17-6TQL*09	0.001	0.001	0.009	0.895182411080376
IGLV18-63QE*03/IGLV18-63QE*05	0.001	0.001	0.008	0.895182411080376
IGLV18-A6K6*03	0.001	0.001	0.003	0.895182411080376
IGLV2-3NOK*06	0.001	0.001	0.01	0.895182411080376
IGLV2-4DY7*02	0.001	0.001	0.002	0.895182411080376
IGLV2-4HKX*02	0.001	0.001	0.002	0.895182411080376
IGLV2-4HKX*03	0.001	0.001	0.001	0.895182411080376
IGLV2-66YQ*03	0.007	0.007	0.9	0.898499868496377
IGLV2-66YQ*07/IGLV2-66YQ*09	0.001	0.001	0.01	0.895182411080376
IGLV2-66YQ*12	0.001	0.001	0.01	0.895182411080376
IGLV2-OLTR*01	0.001	0.001	0.01	0.895182411080376
IGLV20-ETZW*01	0.001	0.001	0.001	0.895182411080376
IGLV21-KXCY*01	0.001	0.001	0.001	0.895182411080376
IGLV22-ACMF*01	0.001	0.001	0.001	0.895182411080376
IGLV24-PJEQ*01	0.001	0.001	0.002	0.895182411080376
IGLV3-2EX4*06/IGLV3-2EX4*13	0.001	0.001	0.001	0.895182411080376
IGLV3-2EX4*08	0.001	0.001	0.001	0.895182411080376
IGLV3-2EX4*10	0.001	0.001	0.003	0.895182411080376
IGLV3-2EX4*12/IGLV3-2EX4*18/IGLV3-2EX4*27	0.001	0.001	0.001	0.895182411080376
IGLV3-34KT*01	0.001	0.001	0.004	0.895182411080376
IGLV3-BR3M*06/IGLV3-BR3M*08	0.001	0.001	0.004	0.895182411080376
IGLV4-DMJJ*02/IGLV4-DMJJ*03	0.001	0.001	0.006	0.895182411080376
IGLV5-276Q*04	0.001	0.001	0.01	0.895182411080376
IGLV5-3RO5*04	0.001	0.001	0.001	0.895182411080376
IGLV5-AZDI*04	0.001	0.001	0.008	0.895182411080376
IGLV5-BNOK*01	0.001	0.001	0.001	0.895182411080376
IGLV5-K637*01	0.001	0.001	0.001	0.895182411080376
IGLV5-Q4PR*01	0.002	0.002	0.9	0.895388947463383
IGLV6-26PD*03	0.001	0.001	0.006	0.895182411080376
IGLV6-26PD*05	0.005	0.005	0.009	0.895379390018932
IGLV6-26PD*08/IGLV6-26PD*10	0.001	0.001	0.002	0.895182411080376
IGLV6-26PD*11	0.001	0.001	0.006	0.895182411080376
IGLV6-7SYV*06	0.001	0.001	0.001	0.895182411080376
IGLV7-4FHJ*03	0.001	0.001	0.007	0.895182411080376
IGLV7-4FHJ*04	0.001	0.001	0.001	0.895182411080376
IGLV7-63DH*01	0.001	0.001	0.009	0.895182411080376
IGLV7-SWRX*01	0.001	0.001	0.007	0.895182411080376
IGLV8-5YTT*04	0.003	0.003	0.01	0.895390744586141
IGLV8-ASEJ*01	0.001	0.001	0.01	0.895182411080376
IGLV9-DGNA*01	0.001	0.001	0.003	0.895182411080376
IGLV1-42NW*03	0.002	0.002	0.01	0.895252824163127
IGLV17-2EQO*08	0.001	0.001	0.01	0.895182411080376
IGLV18-SRE7*01/IGLV18-SRE7*02	0.001	0.001	0.001	0.895182411080376
IGLV2-4DY7*04	0.002	0.002	0.003	0.895272810876658
IGLV2-66YQ*06	0.002	0.002	0.007	0.895261351747552
IGLV21-6YH6*01	0.002	0.002	0.002	0.895272810876658
IGLV22-ACMF*02	0.001	0.001	0.001	0.895182411080376
IGLV24-PJEQ*02	0.001	0.001	0.001	0.895182411080376
IGLV4-DMJJ*04	0.001	0.001	0.01	0.895182411080376
IGLV6-7SYV*04	0.001	0.001	0.006	0.895182411080376
IGLV8-5YTT*05	0.001	0.001	0.01	0.895182411080376
IGLV1-5WTR*01	0.001	0.001	0.007	0.895182411080376
IGLV12-2SBP*01/IGLV12-2SBP*03	0.001	0.001	0.008	0.895182411080376
IGLV12-RLSR*01	0.001	0.001	0.009	0.895182411080376
IGLV13-3ETT*13	0.001	0.001	0.007	0.895182411080376
IGLV13-3ETT*27	0.001	0.001	0.9	0.895182411080376
IGLV17-6TQL*01	0.003	0.003	0.9	0.896155272994982
IGLV17-6TQL*03	0.002	0.002	0.01	0.8953093683381
IGLV17-6TQL*04/IGLV17-6TQL*10	0.001	0.001	0.01	0.895182411080376
IGLV2-3NOK*04	0.002	0.002	0.01	0.8953093683381
IGLV2-JOO7*01	0.001	0.001	0.001	0.895182411080376
IGLV2-JOO7*03	0.001	0.001	0.01	0.895182411080376
IGLV22-II36*01	0.007	0.007	0.007	0.895217615520538
IGLV23-4D5L*01	0.002	0.002	0.002	0.895261351747552
IGLV3-2EX4*01	0.001	0.001	0.001	0.895182411080376
IGLV3-2EX4*02	0.001	0.001	0.002	0.895182411080376
IGLV3-2EX4*05/IGLV3-2EX4*07	0.001	0.001	0.001	0.895182411080376
IGLV3-2EX4*14/IGLV3-2EX4*22	0.001	0.001	0.003	0.895182411080376
IGLV3-2EX4*17	0.001	0.001	0.001	0.895182411080376
IGLV5-3RO5*03	0.001	0.001	0.9	0.895182411080376
IGLV5-AZDI*02	0.002	0.002	0.01	0.8953093683381
IGLV5-BNOK*02	0.001	0.001	0.001	0.895182411080376
IGLV6-26PD*02	0.006	0.006	0.006	0.895261351747552
IGLV7-BWVJ*01	0.001	0.001	0.005	0.895182411080376
IGLV8-5YTT*02	0.001	0.001	0.02	0.895182411080376
IGLV8-ASEJ*02	0.001	0.001	0.003	0.895182411080376
IGLV9-NPLJ*01	0.001	0.001	0.004	0.895182411080376
IGLV1-42NW*05	0.001	0.001	0.01	0.895182411080376
IGLV1-ANT2*03/IGLV1-ANT2*04	0.001	0.001	0.01	0.895182411080376
IGLV17-2EQO*06/IGLV17-2EQO*07	0.001	0.001	0.002	0.895182411080376
IGLV17-7C53*01	0.001	0.001	0.002	0.895182411080376
IGLV18-A6K6*04	0.001	0.001	0.006	0.895182411080376
IGLV18-FO3T*01	0.001	0.001	0.004	0.895182411080376
IGLV18-I6IM*01/IGLV18-I6IM*02	0.001	0.001	0.01	0.895182411080376
IGLV2-3NOK*07	0.002	0.002	0.9	0.89580213849755
IGLV3-BR3M*03	0.005	0.005	0.009	0.895272810876658
IGLV5-276Q*03	0.001	0.001	0.01	0.895182411080376
IGLV5-3RO5*01	0.001	0.001	0.004	0.895182411080376
IGLV5-5FUK*02	0.001	0.001	0.001	0.895182411080376
IGLV7-22ZI*02	0.001	0.001	0.01	0.895182411080376
IGLV7-4FHJ*02	0.002	0.002	0.002	0.8953093683381
IGLV7-4FHJ*06	0.002	0.002	0.9	0.895313088549714
IGLV7-NDLJ*01	0.001	0.001	0.001	0.895182411080376
IGLV8-5YTT*01	0.001	0.001	0.007	0.895182411080376
IGLV13-3ETT*19	0.001	0.001	0.9	0.895182411080376
IGLV13-3ETT*29	0.001	0.001	0.01	0.895182411080376
IGLV13-3ETT*32	0.001	0.001	0.005	0.895182411080376
IGLV17-6TQL*07	0.002	0.002	0.9	0.895536196369098
IGLV18-A6K6*02	0.001	0.001	0.009	0.895182411080376
IGLV18-FO3T*06	0.001	0.001	0.005	0.895182411080376
IGLV2-66YQ*13	0.001	0.001	0.02	0.895182411080376
IGLV23-4D5L*02	0.001	0.001	0.001	0.895182411080376
IGLV3-BR3M*04	0.001	0.001	0.01	0.895182411080376
IGLV6-7SYV*03/IGLV6-7SYV*05	0.001	0.001	0.006	0.895182411080376
IGLV1-24UP*02	0.001	0.001	0.006	0.895182411080376
IGLV1-42NW*04	0.001	0.001	0.008	0.895182411080376
IGLV1-ANT2*01	0.001	0.001	0.01	0.895182411080376
IGLV1-HYAR*02	0.001	0.001	0.009	0.895182411080376
IGLV12-CWPJ*02	0.001	0.001	0.001	0.895182411080376
IGLV13-3ETT*24	0.001	0.001	0.005	0.895182411080376
IGLV13-3ETT*30	0.001	0.001	0.006	0.895182411080376
IGLV18-FO3T*04	0.008	0.008	0.9	0.895493237770872
IGLV18-I6IM*03	0.001	0.001	0.01	0.895182411080376
IGLV18-N5HP*03	0.001	0.001	0.004	0.895182411080376
IGLV2-66YQ*11	0.002	0.002	0.02	0.895393524544909
IGLV23-CGIK*01	0.001	0.001	0.001	0.895182411080376
IGLV3-BR3M*05	0.001	0.001	0.9	0.895182411080376
IGLV5-276Q*02	0.001	0.001	0.01	0.895182411080376
IGLV5-5FUK*01	0.001	0.001	0.001	0.895182411080376
IGLV7-4FHJ*05	0.001	0.001	0.001	0.895182411080376
IGLV7-M5JX*01	0.001	0.001	0.001	0.895182411080376
IGLV13-3ETT*10	0.001	0.001	0.01	0.895182411080376
IGLV17-2DBU*01	0.001	0.001	0.01	0.895182411080376
IGLV17-6TQL*02	0.001	0.001	0.01	0.895182411080376
IGLV2-66YQ*02	0.003	0.003	0.9	0.896043395985895
IGLV23-4D5L*03	0.001	0.001	0.003	0.895182411080376
IGLV3-2EX4*21	0.001	0.001	0.001	0.895182411080376
IGLV3-2EX4*23	0.001	0.001	0.003	0.895182411080376
IGLV7-22ZI*04	0.001	0.001	0.01	0.895182411080376
IGLV8-5YTT*07	0.002	0.002	0.9	0.895311803918965
IGLV1-24UP*06	0.001	0.001	0.001	0.895182411080376
IGLV4-DMJJ*01	0.001	0.001	0.01	0.895182411080376
IGLV6-26PD*09	0.005	0.005	0.008	0.895272810876658
IGLV13-3ETT*20	0.001	0.001	0.9	0.895182411080376
IGLV17-2EQO*03	0.002	0.002	0.9	0.895261351747552
IGLV2-3NOK*02	0.001	0.001	0.9	0.895182411080376
IGLV14-WNKU*02	0.001	0.001	0.9	0.895182411080376
IGLV7-22ZI*01	0.001	0.001	0.01	0.895182411080376
IGLV19-GNF7*01	0.001	0.001	0.001	0.895182411080376
IGLV1-ANT2*05	0.001	0.001	0.9	0.895182411080376
